,train_loss,train_acc,test_loss,test_acc
0,20.770243108272552,15.0,20.77021336555481,15.0
1,20.684150755405426,15.012215207246776,20.684054136276245,15.010883482714469
2,20.542658746242523,15.84120230579193,20.542571187019348,15.828745198463505
3,20.361073791980743,18.7001097996157,20.3615700006485,18.71766965428937
4,20.205204784870148,19.898023606917373,20.207503974437714,19.864596670934702
5,20.15551096200943,17.765989569036506,20.15715664625168,17.770806658130603
6,20.176880180835724,15.797419709031013,20.17423701286316,15.79385403329065
7,20.164965748786926,15.51811693659072,20.159097373485565,15.507362355953905
8,20.117383420467377,16.352731265440568,20.1106618642807,16.320422535211268
9,20.07926630973816,17.855750754872354,20.073599338531494,17.80089628681178
10,20.070453822612762,19.497804007685975,20.066323220729828,19.477912932138285
11,20.07643300294876,20.861515234696675,20.07360702753067,20.846991037131883
12,20.07869017124176,21.556821301125446,20.076862514019012,21.56946222791293
13,20.068258345127106,21.665522920669776,20.067245483398438,21.651728553137
14,20.046127378940582,21.20052154817458,20.045784890651703,21.18790012804097
15,20.019015669822693,20.316360142739505,20.019033789634705,20.298335467349553
16,19.994903028011322,19.194345319791378,19.9946266412735,19.213188220230474
17,19.978807628154755,18.131622289321985,19.977440178394318,18.16357234314981
18,19.969331204891205,17.39912160307439,19.966388285160065,17.397247119078106
19,19.959945738315582,17.073428493000275,19.95550638437271,17.05857874519846
20,19.94596177339554,17.208344770793303,19.940524995326996,17.187259923175414
21,19.92931318283081,17.7366181718364,19.923576653003693,17.67829705505762
22,19.914164304733276,18.46102113642602,19.908808410167694,18.43181818181818
23,19.901705384254456,19.203403788086742,19.897241353988647,19.161971830985916
24,19.890615463256836,19.791380730167447,19.887270033359528,19.732714468629965
25,19.878632307052612,20.0818007136975,19.876317620277405,20.044494238156208
26,19.864406526088715,20.057782047762835,19.86272543668747,20.018565941101155
27,19.848658740520477,19.751166620916834,19.846961736679077,19.72983354673495
28,19.833628833293915,19.3101839143563,19.831234395503998,19.30601792573623
29,19.82021737098694,18.905023332418335,19.816710650920868,18.895006402048658
30,19.807065725326538,18.662915179796872,19.802511870861053,18.652688860435333
31,19.792734920978546,18.65701345045292,19.787533223628998,18.653649167733676
32,19.77780705690384,18.881690914081805,19.772438764572144,18.859154929577468
33,19.76393312215805,19.251303870436455,19.758836925029755,19.220870678617157
34,19.751033425331116,19.638347515783693,19.746500253677368,19.60307298335467
35,19.737386107444763,19.922042272852043,19.733441174030304,19.875160051216383
36,19.722294628620148,20.04652758715344,19.718667089939117,20.000960307298335
37,19.70705670118332,20.01139171012902,19.703271865844727,19.998719590268884
38,19.6928693652153,19.87784792753225,19.688549637794495,19.86971830985915
39,19.67901122570038,19.742794400219598,19.674108743667603,19.74679897567222
40,19.66423809528351,19.722069722755975,19.65903514623642,19.726312419974395
41,19.648956835269928,19.8225363711227,19.643825948238373,19.807298335467355
42,19.634264051914215,19.994784518254185,19.62934297323227,19.98623559539053
43,19.62000262737274,20.193659072193245,19.615179657936096,20.1562099871959
44,19.60522186756134,20.341888553390064,19.600246608257294,20.32298335467349
45,19.589957177639008,20.391847378534173,19.584623396396637,20.36843790012804
46,19.57490301132202,20.38471040351359,19.569172859191895,20.362676056338028
47,19.560000896453857,20.370024704913536,19.554141461849213,20.365236875800257
48,19.544824242591858,20.424101015646446,19.539238452911377,20.414852752880922
49,19.529753625392914,20.522234422179523,19.524545967578888,20.491997439180537
50,19.514803051948547,20.632720285479,19.509615302085876,20.608834827144687
51,19.499506056308746,20.696678561625035,19.493841648101807,20.698463508322664
52,19.484232306480408,20.730579192972815,19.477878630161285,20.720550576184376
53,19.469217896461487,20.72728520450179,19.462460935115814,20.71574903969271
54,19.45394778251648,20.764342574800985,19.447327196598053,20.75704225352112
55,19.43851536512375,20.84092780675267,19.432359635829926,20.831946222791288
56,19.423674762248993,20.92506176228383,19.417780101299286,20.93758002560819
57,19.408520340919495,20.98847104035136,19.40237134695053,21.001600512163897
58,19.392908453941345,20.98325555860554,19.386176228523254,20.9926376440461
59,19.377971827983856,20.96760911336811,19.370727837085724,20.985275288092193
60,19.36286813020706,21.005489980785065,19.355540454387665,21.017285531370042
61,19.347468674182892,21.08687894592369,19.34042191505432,21.11203585147247
